r_p,wavelength,abs_sigma
1.28283e-08,4.68208e-07,2.35833e-16
1.28283e-08,4.65517e-07,2.32984e-16
1.28283e-08,4.62857e-07,2.30838e-16
1.28283e-08,4.60227e-07,2.29068e-16
1.28283e-08,4.57627e-07,2.2744e-16
1.28283e-08,4.55056e-07,2.25843e-16
1.28283e-08,4.52514e-07,2.24291e-16
1.28283e-08,4.5e-07,2.22895e-16
1.35354e-08,1e-06,2.01506e-18
1.35354e-08,9.87805e-07,2.29789e-18
1.35354e-08,9.75904e-07,2.41064e-18
1.35354e-08,9.64286e-07,2.33554e-18
1.35354e-08,9.52941e-07,2.11849e-18
1.35354e-08,9.4186e-07,1.8529e-18
1.35354e-08,9.31034e-07,1.64852e-18
1.35354e-08,9.20455e-07,1.59556e-18
1.35354e-08,9.10112e-07,1.73579e-18
1.35354e-08,9e-07,2.04981e-18
1.35354e-08,8.9011e-07,2.46434e-18
1.35354e-08,8.80435e-07,2.87689e-18
1.35354e-08,8.70968e-07,3.18958e-18
1.35354e-08,8.61702e-07,3.3412e-18
1.35354e-08,8.52632e-07,3.32721e-18
1.35354e-08,8.4375e-07,3.20126e-18
1.35354e-08,8.35052e-07,3.05799e-18
1.35354e-08,8.26531e-07,3.0026e-18
1.35354e-08,8.18182e-07,3.11719e-18
1.35354e-08,8.1e-07,3.43456e-18
1.35354e-08,8.0198e-07,3.92797e-18
1.35354e-08,7.94118e-07,4.52034e-18
1.35354e-08,7.86408e-07,5.10973e-18
1.35354e-08,7.78846e-07,5.60317e-18
1.35354e-08,7.71429e-07,5.94772e-18
1.35354e-08,7.64151e-07,6.14844e-18
1.35354e-08,7.57009e-07,6.26713e-18
1.35354e-08,7.5e-07,6.40133e-18
1.35354e-08,7.43119e-07,6.65015e-18
1.35354e-08,7.36364e-07,7.07742e-18
1.35354e-08,7.2973e-07,7.6845e-18
1.35354e-08,7.23214e-07,8.4026e-18
1.35354e-08,7.16814e-07,9.1089e-18
1.35354e-08,7.10526e-07,9.66335e-18
1.35354e-08,7.04348e-07,9.95668e-18
1.35354e-08,6.98276e-07,9.95552e-18
1.35354e-08,6.92308e-07,9.73059e-18
1.35354e-08,6.86441e-07,9.45758e-18
1.35354e-08,6.80672e-07,9.3878e-18
1.35354e-08,6.75e-07,9.79418e-18
1.35354e-08,6.69421e-07,1.0906e-17
1.35354e-08,6.63934e-07,1.28496e-17
1.35354e-08,6.58537e-07,1.56138e-17
1.35354e-08,6.53226e-07,1.90502e-17
1.35354e-08,6.48e-07,2.29146e-17
1.35354e-08,6.42857e-07,2.69399e-17
1.35354e-08,6.37795e-07,3.09265e-17
1.35354e-08,6.32813e-07,3.4826e-17
1.35354e-08,6.27907e-07,3.87974e-17
1.35354e-08,6.23077e-07,4.32167e-17
1.35354e-08,6.18321e-07,4.86335e-17
1.35354e-08,6.13636e-07,5.56795e-17
1.35354e-08,6.09023e-07,6.4945e-17
1.35354e-08,6.04478e-07,7.68495e-17
1.35354e-08,6e-07,9.15353e-17
1.35354e-08,5.95588e-07,1.08808e-16
1.35354e-08,5.91241e-07,1.28141e-16
1.35354e-08,5.86957e-07,1.48747e-16
1.35354e-08,5.82734e-07,1.69708e-16
1.35354e-08,5.78571e-07,1.90128e-16
1.35354e-08,5.74468e-07,2.09295e-16
1.35354e-08,5.70423e-07,2.26809e-16
1.35354e-08,5.66434e-07,2.42649e-16
1.35354e-08,5.625e-07,2.57169e-16
1.35354e-08,5.58621e-07,2.71024e-16
1.35354e-08,5.54795e-07,2.85026e-16
1.35354e-08,5.5102e-07,2.99978e-16
1.35354e-08,5.47297e-07,3.16501e-16
1.35354e-08,5.43624e-07,3.34887e-16
1.35354e-08,5.4e-07,3.55022e-16
1.35354e-08,5.36424e-07,3.76364e-16
1.35354e-08,5.32895e-07,3.98014e-16
1.35354e-08,5.29412e-07,4.1883e-16
1.35354e-08,5.25974e-07,4.3759e-16
1.35354e-08,5.22581e-07,4.53163e-16
1.35354e-08,5.19231e-07,4.64654e-16
1.35354e-08,5.15924e-07,4.71515e-16
1.35354e-08,5.12658e-07,4.73592e-16
1.35354e-08,5.09434e-07,4.71112e-16
1.35354e-08,5.0625e-07,4.64622e-16
1.35354e-08,5.03106e-07,4.54887e-16
1.35354e-08,5e-07,4.42773e-16
1.35354e-08,4.96933e-07,4.29145e-16
1.35354e-08,4.93902e-07,4.14776e-16
1.35354e-08,4.90909e-07,4.00295e-16
1.35354e-08,4.87952e-07,3.86177e-16
1.35354e-08,4.8503e-07,3.7275e-16
1.35354e-08,4.82143e-07,3.60234e-16
1.35354e-08,4.7929e-07,3.48776e-16
1.35354e-08,4.76471e-07,3.3849e-16
1.35354e-08,4.73684e-07,3.29471e-16
1.35354e-08,4.7093e-07,3.21801e-16
1.35354e-08,4.68208e-07,3.15539e-16
1.35354e-08,4.65517e-07,3.10695e-16
1.35354e-08,4.62857e-07,3.07219e-16
1.35354e-08,4.60227e-07,3.04983e-16
1.35354e-08,4.57627e-07,3.03786e-16
1.35354e-08,4.55056e-07,3.03381e-16
