r_p,wavelength,scat_sigma
1.14141e-08,5.09434e-07,1.1811e-18
1.14141e-08,5.0625e-07,1.14243e-18
1.14141e-08,5.03106e-07,1.09684e-18
1.14141e-08,5e-07,1.04656e-18
1.14141e-08,4.96933e-07,9.94224e-19
1.14141e-08,4.93902e-07,9.42682e-19
1.14141e-08,4.90909e-07,8.94723e-19
1.14141e-08,4.87952e-07,8.52824e-19
1.14141e-08,4.8503e-07,8.18933e-19
1.14141e-08,4.82143e-07,7.94306e-19
1.14141e-08,4.7929e-07,7.79423e-19
1.14141e-08,4.76471e-07,7.73996e-19
1.14141e-08,4.73684e-07,7.77056e-19
1.14141e-08,4.7093e-07,7.87126e-19
1.14141e-08,4.68208e-07,8.0243e-19
1.14141e-08,4.65517e-07,8.21132e-19
1.14141e-08,4.62857e-07,8.41558e-19
1.14141e-08,4.60227e-07,8.62387e-19
1.14141e-08,4.57627e-07,8.82766e-19
1.14141e-08,4.55056e-07,9.0236e-19
1.14141e-08,4.52514e-07,9.21314e-19
1.14141e-08,4.5e-07,9.40153e-19
1.21212e-08,1e-06,5.36013e-20
1.21212e-08,9.87805e-07,5.63299e-20
1.21212e-08,9.75904e-07,5.89851e-20
1.21212e-08,9.64286e-07,6.17238e-20
1.21212e-08,9.52941e-07,6.47173e-20
1.21212e-08,9.4186e-07,6.81039e-20
1.21212e-08,9.31034e-07,7.19513e-20
1.21212e-08,9.20455e-07,7.62419e-20
1.21212e-08,9.10112e-07,8.08822e-20
1.21212e-08,9e-07,8.57339e-20
1.21212e-08,8.9011e-07,9.06568e-20
1.21212e-08,8.80435e-07,9.55512e-20
1.21212e-08,8.70968e-07,1.00388e-19
1.21212e-08,8.61702e-07,1.05217e-19
1.21212e-08,8.52632e-07,1.10155e-19
1.21212e-08,8.4375e-07,1.15356e-19
1.21212e-08,8.35052e-07,1.20966e-19
1.21212e-08,8.26531e-07,1.2709e-19
1.21212e-08,8.18182e-07,1.33764e-19
1.21212e-08,8.1e-07,1.40951e-19
1.21212e-08,8.0198e-07,1.48554e-19
1.21212e-08,7.94118e-07,1.56449e-19
1.21212e-08,7.86408e-07,1.64523e-19
1.21212e-08,7.78846e-07,1.72708e-19
1.21212e-08,7.71429e-07,1.80999e-19
1.21212e-08,7.64151e-07,1.89467e-19
1.21212e-08,7.57009e-07,1.98231e-19
1.21212e-08,7.5e-07,2.0744e-19
1.21212e-08,7.43119e-07,2.17229e-19
1.21212e-08,7.36364e-07,2.27696e-19
1.21212e-08,7.2973e-07,2.38883e-19
1.21212e-08,7.23214e-07,2.50776e-19
1.21212e-08,7.16814e-07,2.6333e-19
1.21212e-08,7.10526e-07,2.76493e-19
1.21212e-08,7.04348e-07,2.90249e-19
1.21212e-08,6.98276e-07,3.04638e-19
1.21212e-08,6.92308e-07,3.19773e-19
1.21212e-08,6.86441e-07,3.35825e-19
1.21212e-08,6.80672e-07,3.53004e-19
1.21212e-08,6.75e-07,3.71512e-19
1.21212e-08,6.69421e-07,3.91502e-19
1.21212e-08,6.63934e-07,4.1305e-19
1.21212e-08,6.58537e-07,4.36137e-19
1.21212e-08,6.53226e-07,4.60662e-19
1.21212e-08,6.48e-07,4.8648e-19
1.21212e-08,6.42857e-07,5.13449e-19
1.21212e-08,6.37795e-07,5.41491e-19
1.21212e-08,6.32813e-07,5.70634e-19
1.21212e-08,6.27907e-07,6.01043e-19
1.21212e-08,6.23077e-07,6.3301e-19
1.21212e-08,6.18321e-07,6.66926e-19
1.21212e-08,6.13636e-07,7.03219e-19
1.21212e-08,6.09023e-07,7.42287e-19
1.21212e-08,6.04478e-07,7.84433e-19
1.21212e-08,6e-07,8.29829e-19
1.21212e-08,5.95588e-07,8.78504e-19
1.21212e-08,5.91241e-07,9.30371e-19
1.21212e-08,5.86957e-07,9.85297e-19
1.21212e-08,5.82734e-07,1.04317e-18
1.21212e-08,5.78571e-07,1.10398e-18
1.21212e-08,5.74468e-07,1.16788e-18
1.21212e-08,5.70423e-07,1.23515e-18
1.21212e-08,5.66434e-07,1.30617e-18
1.21212e-08,5.625e-07,1.38129e-18
1.21212e-08,5.58621e-07,1.46063e-18
1.21212e-08,5.54795e-07,1.54391e-18
1.21212e-08,5.5102e-07,1.63026e-18
1.21212e-08,5.47297e-07,1.71806e-18
1.21212e-08,5.43624e-07,1.80487e-18
1.21212e-08,5.4e-07,1.8875e-18
1.21212e-08,5.36424e-07,1.96221e-18
1.21212e-08,5.32895e-07,2.02492e-18
1.21212e-08,5.29412e-07,2.07167e-18
1.21212e-08,5.25974e-07,2.09896e-18
1.21212e-08,5.22581e-07,2.10425e-18
1.21212e-08,5.19231e-07,2.08622e-18
1.21212e-08,5.15924e-07,2.0451e-18
1.21212e-08,5.12658e-07,1.98266e-18
1.21212e-08,5.09434e-07,1.90221e-18
1.21212e-08,5.0625e-07,1.8083e-18
1.21212e-08,5.03106e-07,1.70633e-18
1.21212e-08,5e-07,1.60208e-18
1.21212e-08,4.96933e-07,1.50119e-18
1.21212e-08,4.93902e-07,1.40867e-18
1.21212e-08,4.90909e-07,1.32848e-18
1.21212e-08,4.87952e-07,1.2633e-18
1.21212e-08,4.8503e-07,1.21437e-18
1.21212e-08,4.82143e-07,1.18162e-18
1.21212e-08,4.7929e-07,1.16379e-18
1.21212e-08,4.76471e-07,1.15882e-18
1.21212e-08,4.73684e-07,1.16416e-18
1.21212e-08,4.7093e-07,1.1772e-18
1.21212e-08,4.68208e-07,1.19556e-18
1.21212e-08,4.65517e-07,1.21738e-18
1.21212e-08,4.62857e-07,1.2414e-18
1.21212e-08,4.60227e-07,1.26698e-18
1.21212e-08,4.57627e-07,1.29405e-18
1.21212e-08,4.55056e-07,1.32286e-18
1.21212e-08,4.52514e-07,1.35385e-18
1.21212e-08,4.5e-07,1.38739e-18
1.28283e-08,1e-06,7.39603e-20
1.28283e-08,9.87805e-07,7.81087e-20
1.28283e-08,9.75904e-07,8.21437e-20
1.28283e-08,9.64286e-07,8.61709e-20
1.28283e-08,9.52941e-07,9.03591e-20
1.28283e-08,9.4186e-07,9.4894e-20
1.28283e-08,9.31034e-07,9.99261e-20
1.28283e-08,9.20455e-07,1.0553e-19
1.28283e-08,9.10112e-07,1.11684e-19
1.28283e-08,9e-07,1.18281e-19
1.28283e-08,8.9011e-07,1.25159e-19
1.28283e-08,8.80435e-07,1.32154e-19
1.28283e-08,8.70968e-07,1.39148e-19
1.28283e-08,8.61702e-07,1.4611e-19
1.28283e-08,8.52632e-07,1.53106e-19
1.28283e-08,8.4375e-07,1.60293e-19
1.28283e-08,8.35052e-07,1.67872e-19
1.28283e-08,8.26531e-07,1.76044e-19
1.28283e-08,8.18182e-07,1.84951e-19
1.28283e-08,8.1e-07,1.94643e-19
1.28283e-08,8.0198e-07,2.05064e-19
1.28283e-08,7.94118e-07,2.16072e-19
1.28283e-08,7.86408e-07,2.27479e-19
1.28283e-08,7.78846e-07,2.39106e-19
1.28283e-08,7.71429e-07,2.50842e-19
1.28283e-08,7.64151e-07,2.62677e-19
1.28283e-08,7.57009e-07,2.74719e-19
1.28283e-08,7.5e-07,2.87169e-19
1.28283e-08,7.43119e-07,3.00281e-19
1.28283e-08,7.36364e-07,3.14301e-19
1.28283e-08,7.2973e-07,3.29413e-19
1.28283e-08,7.23214e-07,3.45703e-19
1.28283e-08,7.16814e-07,3.63149e-19
1.28283e-08,7.10526e-07,3.81651e-19
1.28283e-08,7.04348e-07,4.01076e-19
1.28283e-08,6.98276e-07,4.21328e-19
1.28283e-08,6.92308e-07,4.42405e-19
1.28283e-08,6.86441e-07,4.64436e-19
1.28283e-08,6.80672e-07,4.87678e-19
1.28283e-08,6.75e-07,5.12481e-19
1.28283e-08,6.69421e-07,5.39217e-19
1.28283e-08,6.63934e-07,5.68196e-19
1.28283e-08,6.58537e-07,5.99586e-19
1.28283e-08,6.53226e-07,6.33374e-19
1.28283e-08,6.48e-07,6.69363e-19
1.28283e-08,6.42857e-07,7.07231e-19
1.28283e-08,6.37795e-07,7.46636e-19
1.28283e-08,6.32813e-07,7.87345e-19
1.28283e-08,6.27907e-07,8.29365e-19
1.28283e-08,6.23077e-07,8.73037e-19
1.28283e-08,6.18321e-07,9.19063e-19
1.28283e-08,6.13636e-07,9.68458e-19
1.28283e-08,6.09023e-07,1.02242e-18
1.28283e-08,6.04478e-07,1.08212e-18
1.28283e-08,6e-07,1.1485e-18
1.28283e-08,5.95588e-07,1.22203e-18
1.28283e-08,5.91241e-07,1.30254e-18
1.28283e-08,5.86957e-07,1.3892e-18
1.28283e-08,5.82734e-07,1.48051e-18
1.28283e-08,5.78571e-07,1.57448e-18
1.28283e-08,5.74468e-07,1.6689e-18
1.28283e-08,5.70423e-07,1.7616e-18
1.28283e-08,5.66434e-07,1.85079e-18
1.28283e-08,5.625e-07,1.93523e-18
1.28283e-08,5.58621e-07,2.01438e-18
1.28283e-08,5.54795e-07,2.08838e-18
