r_p,wavelength,abs_sigma
1.35354e-08,5.33333e-07,5.52038e-16
1.35354e-08,5.38889e-07,5.03338e-16
1.35354e-08,5.44444e-07,4.54331e-16
1.35354e-08,5.5e-07,4.06799e-16
1.35354e-08,5.55556e-07,3.61339e-16
1.35354e-08,5.61111e-07,3.1805e-16
1.35354e-08,5.66667e-07,2.77039e-16
1.35354e-08,5.72222e-07,2.38624e-16
1.35354e-08,5.77778e-07,2.03292e-16
1.35354e-08,5.83333e-07,1.71538e-16
1.35354e-08,5.88889e-07,1.43705e-16
1.35354e-08,5.94444e-07,1.199e-16
1.35354e-08,6e-07,9.9987e-17
1.35354e-08,6.05556e-07,8.36383e-17
1.35354e-08,6.11111e-07,7.04027e-17
1.35354e-08,6.16667e-07,5.97705e-17
1.35354e-08,6.22222e-07,5.12243e-17
1.35354e-08,6.27778e-07,4.42758e-17
1.35354e-08,6.33333e-07,3.84952e-17
1.35354e-08,6.38889e-07,3.35351e-17
1.35354e-08,6.44444e-07,2.91484e-17
1.35354e-08,6.5e-07,2.51937e-17
1.35354e-08,6.55556e-07,2.16276e-17
1.35354e-08,6.61111e-07,1.84806e-17
1.35354e-08,6.66667e-07,1.58224e-17
1.35354e-08,6.72222e-07,1.3724e-17
1.35354e-08,6.77778e-07,1.22236e-17
1.35354e-08,6.83333e-07,1.13057e-17
1.35354e-08,6.88889e-07,1.08943e-17
1.35354e-08,6.94444e-07,1.08628e-17
1.35354e-08,7e-07,1.10548e-17
1.35354e-08,7.05556e-07,1.131e-17
1.35354e-08,7.11111e-07,1.14902e-17
1.35354e-08,7.16667e-07,1.14976e-17
1.35354e-08,7.22222e-07,1.12851e-17
1.35354e-08,7.27778e-07,1.08553e-17
1.35354e-08,7.33333e-07,1.02513e-17
1.35354e-08,7.38889e-07,9.54223e-18
1.35354e-08,7.44444e-07,8.80572e-18
1.35354e-08,7.5e-07,8.11291e-18
1.35354e-08,7.55556e-07,7.51668e-18
1.35354e-08,7.61111e-07,7.04541e-18
1.35354e-08,7.66667e-07,6.70217e-18
1.35354e-08,7.72222e-07,6.46852e-18
1.35354e-08,7.77778e-07,6.31142e-18
1.35354e-08,7.83333e-07,6.19149e-18
1.35354e-08,7.88889e-07,6.07101e-18
1.35354e-08,7.94444e-07,5.92021e-18
1.35354e-08,8e-07,5.72128e-18
1.35354e-08,8.05556e-07,5.4697e-18
1.35354e-08,8.11111e-07,5.17313e-18
1.35354e-08,8.16667e-07,4.84859e-18
1.35354e-08,8.22222e-07,4.51843e-18
1.35354e-08,8.27778e-07,4.20608e-18
1.35354e-08,8.33333e-07,3.93221e-18
1.35354e-08,8.38889e-07,3.71181e-18
1.35354e-08,8.44444e-07,3.55242e-18
1.35354e-08,8.5e-07,3.45376e-18
1.35354e-08,8.55556e-07,3.40836e-18
1.35354e-08,8.61111e-07,3.40323e-18
1.35354e-08,8.66667e-07,3.422e-18
1.35354e-08,8.72222e-07,3.44729e-18
1.35354e-08,8.77778e-07,3.4629e-18
1.35354e-08,8.83333e-07,3.45569e-18
1.35354e-08,8.88889e-07,3.41682e-18
1.35354e-08,8.94444e-07,3.34237e-18
1.35354e-08,9e-07,3.23336e-18
1.35354e-08,9.05556e-07,3.09512e-18
1.35354e-08,9.11111e-07,2.93639e-18
1.35354e-08,9.16667e-07,2.76801e-18
1.35354e-08,9.22222e-07,2.60162e-18
1.35354e-08,9.27778e-07,2.44833e-18
1.35354e-08,9.33333e-07,2.31769e-18
1.35354e-08,9.38889e-07,2.21678e-18
1.35354e-08,9.44444e-07,2.14973e-18
1.35354e-08,9.5e-07,2.11753e-18
1.35354e-08,9.55556e-07,2.11818e-18
1.35354e-08,9.61111e-07,2.14704e-18
1.35354e-08,9.66667e-07,2.19744e-18
1.35354e-08,9.72222e-07,2.26138e-18
1.35354e-08,9.77778e-07,2.3303e-18
1.35354e-08,9.83333e-07,2.39582e-18
1.35354e-08,9.88889e-07,2.45037e-18
