r_p,wavelength,scat_sigma
4.24242e-08,5.98914e-07,2.0112e-15
4.24242e-08,5.96447e-07,2.09441e-15
4.24242e-08,5.94e-07,2.18032e-15
4.24242e-08,5.91573e-07,2.26837e-15
4.24242e-08,5.89166e-07,2.35797e-15
4.24242e-08,5.86778e-07,2.4486e-15
4.24242e-08,5.8441e-07,2.53969e-15
4.24242e-08,5.8206e-07,2.63065e-15
4.24242e-08,5.7973e-07,2.72075e-15
4.24242e-08,5.77418e-07,2.80913e-15
4.24242e-08,5.75124e-07,2.89474e-15
4.24242e-08,5.72849e-07,2.97641e-15
4.24242e-08,5.70591e-07,3.0529e-15
4.24242e-08,5.68351e-07,3.1231e-15
4.24242e-08,5.66129e-07,3.18619e-15
4.24242e-08,5.63924e-07,3.24185e-15
4.24242e-08,5.61736e-07,3.2904e-15
4.24242e-08,5.59565e-07,3.33294e-15
4.24242e-08,5.57411e-07,3.37131e-15
4.24242e-08,5.55273e-07,3.408e-15
4.24242e-08,5.53152e-07,3.44585e-15
4.24242e-08,5.51047e-07,3.48778e-15
4.24242e-08,5.48957e-07,3.53628e-15
4.24242e-08,5.46884e-07,3.59308e-15
4.24242e-08,5.44826e-07,3.6587e-15
4.24242e-08,5.42784e-07,3.73228e-15
4.24242e-08,5.40756e-07,3.8114e-15
4.24242e-08,5.38744e-07,3.89222e-15
4.24242e-08,5.36747e-07,3.96978e-15
4.24242e-08,5.34765e-07,4.0384e-15
4.24242e-08,5.32797e-07,4.09224e-15
4.24242e-08,5.30843e-07,4.12594e-15
4.24242e-08,5.28904e-07,4.13513e-15
4.24242e-08,5.26979e-07,4.11693e-15
4.24242e-08,5.25068e-07,4.07022e-15
4.24242e-08,5.23171e-07,3.99574e-15
4.24242e-08,5.21287e-07,3.89604e-15
4.24242e-08,5.19417e-07,3.77512e-15
4.24242e-08,5.1756e-07,3.63805e-15
4.24242e-08,5.15717e-07,3.49047e-15
4.24242e-08,5.13886e-07,3.33803e-15
4.24242e-08,5.12069e-07,3.186e-15
4.24242e-08,5.10264e-07,3.03883e-15
4.24242e-08,5.08472e-07,2.9e-15
4.24242e-08,5.06693e-07,2.7719e-15
4.24242e-08,5.04926e-07,2.65589e-15
4.24242e-08,5.03171e-07,2.5525e-15
4.24242e-08,5.01429e-07,2.46158e-15
4.24242e-08,4.99698e-07,2.3826e-15
4.24242e-08,4.97979e-07,2.31485e-15
4.24242e-08,4.96272e-07,2.25761e-15
4.24242e-08,4.94577e-07,2.21024e-15
4.24242e-08,4.92894e-07,2.17221e-15
4.24242e-08,4.91221e-07,2.14309e-15
4.24242e-08,4.8956e-07,2.12251e-15
4.24242e-08,4.87911e-07,2.11003e-15
4.24242e-08,4.86272e-07,2.10515e-15
4.24242e-08,4.84644e-07,2.10726e-15
4.24242e-08,4.83028e-07,2.11566e-15
4.24242e-08,4.81421e-07,2.12956e-15
4.24242e-08,4.79826e-07,2.14819e-15
4.24242e-08,4.78241e-07,2.17088e-15
4.24242e-08,4.76667e-07,2.19708e-15
4.24242e-08,4.75103e-07,2.22639e-15
4.24242e-08,4.73549e-07,2.25863e-15
4.24242e-08,4.72005e-07,2.29373e-15
4.24242e-08,4.70471e-07,2.33172e-15
4.24242e-08,4.68947e-07,2.37267e-15
4.24242e-08,4.67433e-07,2.41657e-15
4.24242e-08,4.65929e-07,2.46334e-15
4.24242e-08,4.64435e-07,2.51277e-15
4.24242e-08,4.6295e-07,2.56454e-15
4.24242e-08,4.61474e-07,2.61826e-15
4.24242e-08,4.60008e-07,2.67351e-15
4.24242e-08,4.58551e-07,2.72991e-15
4.24242e-08,4.57103e-07,2.78721e-15
4.24242e-08,4.55665e-07,2.84525e-15
4.24242e-08,4.54235e-07,2.90404e-15
4.24242e-08,4.52815e-07,2.9637e-15
4.24242e-08,4.51403e-07,3.02441e-15
4.24242e-08,4.5e-07,3.08635e-15
4.32323e-08,6.5e-07,1.15619e-15
4.32323e-08,6.47095e-07,1.19413e-15
4.32323e-08,6.44216e-07,1.23349e-15
4.32323e-08,6.41362e-07,1.27415e-15
4.32323e-08,6.38534e-07,1.31606e-15
4.32323e-08,6.3573e-07,1.35925e-15
4.32323e-08,6.32951e-07,1.40385e-15
4.32323e-08,6.30196e-07,1.4501e-15
4.32323e-08,6.27465e-07,1.49835e-15
4.32323e-08,6.24757e-07,1.54896e-15
4.32323e-08,6.22073e-07,1.60231e-15
4.32323e-08,6.19412e-07,1.65875e-15
4.32323e-08,6.16773e-07,1.71852e-15
4.32323e-08,6.14157e-07,1.78177e-15
4.32323e-08,6.11563e-07,1.84856e-15
4.32323e-08,6.08991e-07,1.91884e-15
4.32323e-08,6.0644e-07,1.99254e-15
4.32323e-08,6.0391e-07,2.06961e-15
4.32323e-08,6.01402e-07,2.15009e-15
4.32323e-08,5.98914e-07,2.23415e-15
4.32323e-08,5.96447e-07,2.32212e-15
4.32323e-08,5.94e-07,2.4145e-15
4.32323e-08,5.91573e-07,2.51191e-15
4.32323e-08,5.89166e-07,2.61506e-15
4.32323e-08,5.86778e-07,2.72461e-15
4.32323e-08,5.8441e-07,2.84111e-15
4.32323e-08,5.8206e-07,2.96485e-15
4.32323e-08,5.7973e-07,3.09583e-15
4.32323e-08,5.77418e-07,3.23364e-15
4.32323e-08,5.75124e-07,3.37748e-15
4.32323e-08,5.72849e-07,3.52618e-15
4.32323e-08,5.70591e-07,3.67826e-15
4.32323e-08,5.68351e-07,3.83205e-15
4.32323e-08,5.66129e-07,3.98577e-15
4.32323e-08,5.63924e-07,4.13772e-15
4.32323e-08,5.61736e-07,4.28629e-15
4.32323e-08,5.59565e-07,4.43013e-15
4.32323e-08,5.57411e-07,4.56809e-15
4.32323e-08,5.55273e-07,4.69921e-15
