r_p,wavelength,abs_sigma
4.40816e-008,3.42857e-007,1.44117e-014
4.40816e-008,3.4898e-007,1.26259e-014
4.40816e-008,3.55102e-007,1.31435e-014
4.40816e-008,3.61224e-007,1.60346e-014
4.40816e-008,3.67347e-007,1.45744e-014
4.40816e-008,3.73469e-007,1.70671e-014
4.40816e-008,3.79592e-007,1.68563e-014
4.40816e-008,3.85714e-007,1.68418e-014
4.40816e-008,3.91837e-007,2.00609e-014
4.40816e-008,3.97959e-007,1.87405e-014
4.40816e-008,4.04082e-007,2.03966e-014
4.40816e-008,4.10204e-007,2.13821e-014
4.40816e-008,4.16327e-007,2.19226e-014
4.40816e-008,4.22449e-007,2.35404e-014
4.40816e-008,4.28571e-007,2.41658e-014
4.40816e-008,4.34694e-007,2.31188e-014
4.40816e-008,4.40816e-007,2.52875e-014
4.40816e-008,4.46939e-007,2.64311e-014
4.40816e-008,4.53061e-007,2.70056e-014
4.40816e-008,4.59184e-007,2.63948e-014
4.40816e-008,4.65306e-007,2.68347e-014
4.40816e-008,4.71429e-007,2.81912e-014
4.40816e-008,4.77551e-007,2.86082e-014
4.40816e-008,4.83673e-007,2.90263e-014
4.40816e-008,4.89796e-007,2.96698e-014
4.40816e-008,4.95918e-007,3.00385e-014
4.40816e-008,5.02041e-007,2.99533e-014
4.40816e-008,5.08163e-007,3.04666e-014
4.40816e-008,5.14286e-007,3.1056e-014
4.40816e-008,5.20408e-007,3.15303e-014
4.40816e-008,5.26531e-007,3.25345e-014
4.40816e-008,5.32653e-007,3.21012e-014
4.40816e-008,5.38776e-007,3.17494e-014
4.40816e-008,5.44898e-007,3.29354e-014
4.40816e-008,5.5102e-007,3.17201e-014
4.40816e-008,5.57143e-007,3.22464e-014
4.40816e-008,5.63265e-007,3.21301e-014
4.40816e-008,5.69388e-007,3.2395e-014
4.40816e-008,5.7551e-007,3.30755e-014
4.40816e-008,5.81633e-007,3.37818e-014
4.40816e-008,5.87755e-007,3.2408e-014
4.40816e-008,5.93878e-007,3.26698e-014
4.40816e-008,6e-007,3.29928e-014
4.4898e-008,3e-007,9.80846e-015
4.4898e-008,3.06122e-007,1.04607e-014
4.4898e-008,3.12245e-007,1.17889e-014
4.4898e-008,3.18367e-007,1.10267e-014
4.4898e-008,3.2449e-007,1.26596e-014
4.4898e-008,3.30612e-007,1.33946e-014
4.4898e-008,3.36735e-007,1.30414e-014
4.4898e-008,3.42857e-007,1.63801e-014
4.4898e-008,3.4898e-007,1.52729e-014
4.4898e-008,3.55102e-007,1.56604e-014
4.4898e-008,3.61224e-007,1.81323e-014
4.4898e-008,3.67347e-007,1.76793e-014
4.4898e-008,3.73469e-007,1.97096e-014
4.4898e-008,3.79592e-007,1.95999e-014
4.4898e-008,3.85714e-007,1.98125e-014
4.4898e-008,3.91837e-007,2.21658e-014
4.4898e-008,3.97959e-007,2.17492e-014
4.4898e-008,4.04082e-007,2.33801e-014
4.4898e-008,4.10204e-007,2.43559e-014
4.4898e-008,4.16327e-007,2.48108e-014
4.4898e-008,4.22449e-007,2.59337e-014
4.4898e-008,4.28571e-007,2.68428e-014
4.4898e-008,4.34694e-007,2.61043e-014
4.4898e-008,4.40816e-007,2.78216e-014
4.4898e-008,4.46939e-007,2.89876e-014
4.4898e-008,4.53061e-007,2.93664e-014
4.4898e-008,4.59184e-007,2.94712e-014
4.4898e-008,4.65306e-007,2.98085e-014
4.4898e-008,4.71429e-007,3.06923e-014
4.4898e-008,4.77551e-007,3.12752e-014
4.4898e-008,4.83673e-007,3.16093e-014
4.4898e-008,4.89796e-007,3.20472e-014
4.4898e-008,4.95918e-007,3.26767e-014
4.4898e-008,5.02041e-007,3.25045e-014
4.4898e-008,5.08163e-007,3.3024e-014
4.4898e-008,5.14286e-007,3.32675e-014
4.4898e-008,5.20408e-007,3.39468e-014
4.4898e-008,5.26531e-007,3.45087e-014
4.4898e-008,5.32653e-007,3.44205e-014
4.4898e-008,5.38776e-007,3.40823e-014
4.4898e-008,5.44898e-007,3.50211e-014
4.4898e-008,5.5102e-007,3.43255e-014
4.4898e-008,5.57143e-007,3.46903e-014
4.4898e-008,5.63265e-007,3.46899e-014
4.4898e-008,5.69388e-007,3.49557e-014
4.4898e-008,5.7551e-007,3.54301e-014
4.4898e-008,5.81633e-007,3.6033e-014
4.4898e-008,5.87755e-007,3.51896e-014
4.4898e-008,5.93878e-007,3.53346e-014
4.4898e-008,6e-007,3.55609e-014
4.57143e-008,3e-007,1.09738e-014
4.57143e-008,3.06122e-007,1.20377e-014
4.57143e-008,3.12245e-007,1.30087e-014
